Assignee,Role,Main Flow,Jira Key,Task ID,Task Name,Module,Runtime,Story,Priority,Status,Jira URL,Source URL
DthuyInk,Rotating contributor across all modules,false,LCSP-68,MW-auth-005,Session Revoke Endpoint,auth-workspace,nestjs-api,1.2,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-68,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/05-session-revoke-endpoint.md
DthuyInk,Rotating contributor across all modules,false,LCSP-69,MW-auth-006,Get Workspace Endpoint,auth-workspace,nestjs-api,1.4,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-69,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/06-get-workspace-endpoint.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-70,MW-auth-007,Update Profile Endpoint,auth-workspace,nestjs-api,1.2,P0,DONE,https://minhpnq1807.atlassian.net/browse/LCSP-70,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/07-update-profile-endpoint.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-71,MW-auth-008,OAuth/OIDC Start Endpoint,auth-workspace,nestjs-api,1.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-71,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/08-oauth-oidc-start-endpoint.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-72,MW-auth-009,OAuth/OIDC Callback Endpoint,auth-workspace,nestjs-api,1.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-72,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/09-oauth-oidc-callback-endpoint.md
nhibao08,Rotating contributor across all modules,false,LCSP-73,MW-auth-010,Invite Developer Endpoint,auth-workspace,nestjs-api,1.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-73,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/10-invite-developer-endpoint.md
nhibao08,Rotating contributor across all modules,false,LCSP-74,MW-auth-011,Accept Developer Invitation Endpoint,auth-workspace,nestjs-api,1.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-74,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/11-accept-developer-invitation-endpoint.md
nhibao08,Rotating contributor across all modules,false,LCSP-75,MW-auth-012,Revoke Developer Membership Endpoint,auth-workspace,nestjs-api,1.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-75,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/12-revoke-developer-membership-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-76,MW-auth-013,PBAC Guard — NestJS Integration,auth-workspace,nestjs-api,1.6,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-76,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/13-pbac-guard.md
Nta1210,Rotating contributor across all modules,false,LCSP-77,MW-auth-014,Audit Event Writer — Auth Workspace Integration,auth-workspace,nestjs-api,1.8,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-77,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/auth-workspace/14-audit-event-writer.md
Khovan,Main flow lead / backend orchestration,true,LCSP-78,MW-cls-001,LegalRuleMatch Callback Endpoint,classification,nestjs-api,6.7,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-78,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/classification/01-legal-rule-match-callback-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-79,MW-cls-002,Classification Result Callback Endpoint,classification,nestjs-api,7.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-79,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/classification/02-classification-result-callback-endpoint.md
DthuyInk,Rotating contributor across all modules,false,LCSP-80,MW-doc-001,Generate Gap Analysis Document,document,nestjs-api,8.1,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-80,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/document/01-generate-gap-analysis-endpoint.md
DthuyInk,Rotating contributor across all modules,false,LCSP-81,MW-doc-002,Generate Final Report Document,document,nestjs-api,8.3,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-81,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/document/02-generate-final-report-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-82,MW-doc-003,Get Document Status and Download Endpoint,document,nestjs-api,7.3,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-82,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/document/03-get-document-status-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-83,MW-evid-001,Get Technical Evidence Report Endpoint,evidence,nestjs-api,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-83,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/evidence/01-get-technical-evidence-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-84,MW-evid-002,TechnicalProfile Callback Endpoint,evidence,nestjs-api,3.6,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-84,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/evidence/02-technical-profile-callback-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-85,MW-gh-001,GitHub App OAuth Start Endpoint,github-integration,nestjs-api,3.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-85,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/github-integration/01-github-app-oauth-start-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-86,MW-gh-002,GitHub App Callback Endpoint,github-integration,nestjs-api,3.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-86,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/github-integration/02-github-app-callback-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-87,MW-gh-003,Pin Commit Snapshot Endpoint,github-integration,nestjs-api,3.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-87,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/github-integration/03-pin-commit-snapshot-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-88,MW-gh-004,Scan Trigger Endpoint,github-integration,nestjs-api,3.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-88,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/github-integration/04-scan-trigger-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-89,MW-audit-001,Audit Event Schema — Prisma + Domain Types,platform/audit-writer,nestjs-api,1.8,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-89,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/audit-writer/01-audit-event-schema.md
Khovan,Main flow lead / backend orchestration,true,LCSP-90,MW-audit-002,Audit Writer Service,platform/audit-writer,nestjs-api,1.8,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-90,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/audit-writer/02-audit-writer-service.md
Khovan,Main flow lead / backend orchestration,true,LCSP-91,MW-cfg-001,Config Loader — NestJS ConfigModule Bootstrap,platform/config,nestjs-api,1.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-91,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/config/01-config-loader.md
Khovan,Main flow lead / backend orchestration,true,LCSP-92,MW-outbox-001,Outbox Model — Prisma Schema,platform/outbox,nestjs-api,2.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-92,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/outbox/01-outbox-model.md
Khovan,Main flow lead / backend orchestration,true,LCSP-93,MW-outbox-002,Outbox Publisher — Poller + RabbitMQ Relay,platform/outbox,nestjs-api,2.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-93,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/outbox/02-outbox-publisher.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-94,MW-outbox-003,DLQ Handler — Dead Letter Queue Management,platform/outbox,nestjs-api,2.1,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-94,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/outbox/03-dlq-handler.md
Khovan,Main flow lead / backend orchestration,true,LCSP-95,MW-pbac-001,PBAC Policy Model — Prisma Schema + Types,platform/pbac,nestjs-api,1.6,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-95,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/pbac/01-policy-model.md
Khovan,Main flow lead / backend orchestration,true,LCSP-96,MW-pbac-002,PBAC Evaluator Service,platform/pbac,nestjs-api,1.6,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-96,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/pbac/02-evaluator-service.md
Khovan,Main flow lead / backend orchestration,true,LCSP-97,MW-pbac-003,PBAC NestJS Guard,platform/pbac,nestjs-api,1.6,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-97,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/pbac/03-nestjs-guard.md
Khovan,Main flow lead / backend orchestration,true,LCSP-98,MW-pbac-004,PBAC Worker Preflight — Python Worker Authorization Check,platform/pbac,nestjs-api + python-workers,1.7,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-98,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/platform/pbac/04-worker-preflight.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-99,MW-cls-py-001,Classification Worker,python-workers/classification,lcsp-python-workers,6.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-99,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/classification/01-classification-worker.md
nhibao08,Rotating contributor across all modules,false,LCSP-100,MW-intel-001,TechnicalProfile Worker,python-workers/intelligence,lcsp-python-workers,3.6,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-100,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/intelligence/01-technical-profile-worker.md
nhibao08,Rotating contributor across all modules,false,LCSP-101,MW-intel-002,AIUsageFlow Worker,python-workers/intelligence,lcsp-python-workers,4.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-101,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/intelligence/02-ai-usage-flow-worker.md
nhibao08,Rotating contributor across all modules,false,LCSP-102,MW-intel-003,Conflict Detection Worker,python-workers/intelligence,lcsp-python-workers,5.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-102,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/intelligence/03-conflict-detection-worker.md
Nta1210,Rotating contributor across all modules,false,LCSP-103,MW-intel-004,VerifiedProfile Worker,python-workers/intelligence,lcsp-python-workers,5.4,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-103,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/intelligence/04-verified-profile-worker.md
DthuyInk,Rotating contributor across all modules,false,LCSP-104,MW-legal-001,ChromaDB Legal Retrieval Worker,python-workers/legal,lcsp-python-workers,6.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-104,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/legal/01-chromadb-legal-retrieval-worker.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-105,MW-llm-001,LLM Gateway Client,python-workers/llm,lcsp-python-workers,4.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-105,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/llm/01-llm-gateway-client.md
Nta1210,Rotating contributor across all modules,false,LCSP-106,MW-pyp-001,Python Worker Platform Bootstrap,python-workers/platform,lcsp-python-workers,1.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-106,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/platform/01-worker-platform-bootstrap.md
Nta1210,Rotating contributor across all modules,false,LCSP-107,MW-pyp-002,Worker API Callback Client,python-workers/platform,lcsp-python-workers,1.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-107,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/platform/02-worker-api-callback-client.md
Nta1210,Rotating contributor across all modules,false,LCSP-108,MW-pyp-003,Worker Secret Redaction Utility,python-workers/platform,lcsp-python-workers,1.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-108,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/platform/03-worker-secret-redaction.md
DthuyInk,Rotating contributor across all modules,false,LCSP-109,MW-pyp-004,Worker Health Check HTTP Server,python-workers/platform,lcsp-python-workers,1.1,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-109,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/platform/04-worker-health-check.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-110,MW-rep-001,Gap Analysis Report Worker,python-workers/reporting,lcsp-python-workers,8.1,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-110,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/reporting/01-gap-analysis-report-worker.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-111,MW-rep-002,Final Report Worker,python-workers/reporting,lcsp-python-workers,8.3,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-111,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/reporting/02-final-report-worker.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-112,MW-rep-003,Audit Export Worker,python-workers/reporting,lcsp-python-workers,8.7,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-112,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/reporting/03-audit-export-worker.md
DthuyInk,Rotating contributor across all modules,false,LCSP-113,MW-scan-py-001,Scanner Workspace Setup and Materialization,python-workers/scanner,nestjs-api + python-workers,3.4,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-113,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/01-scanner-workspace-setup.md
DthuyInk,Rotating contributor across all modules,false,LCSP-114,MW-scan-py-002,Syft SBOM Tool Wrapper,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-114,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/02-syft-sbom-tool.md
DthuyInk,Rotating contributor across all modules,false,LCSP-115,MW-scan-py-003,Semgrep AI Usage Rules Tool,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-115,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/03-semgrep-ai-rules-tool.md
nhibao08,Rotating contributor across all modules,false,LCSP-116,MW-scan-py-004,Evidence Report Assembly and Callback,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-116,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/04-evidence-report-assembly.md
nhibao08,Rotating contributor across all modules,false,LCSP-117,MW-scan-py-005,Knip + deptry Dependency Usage Analysis Tool,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-117,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/05-knip-deptry-dependency-tool.md
nhibao08,Rotating contributor across all modules,false,LCSP-118,MW-scan-py-006,Python AST/CST Analyzer (Bounded L0–L3),python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-118,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/06-python-ast-cst-analyzer.md
Nta1210,Rotating contributor across all modules,false,LCSP-119,MW-scan-py-007,TS/JS Subprocess Bridge (ts-morph),python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-119,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/07-ts-js-subprocess-bridge.md
Nta1210,Rotating contributor across all modules,false,LCSP-120,MW-scan-py-008,Semgrep Full AI Ruleset,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-120,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/08-semgrep-full-ai-ruleset.md
Nta1210,Rotating contributor across all modules,false,LCSP-121,MW-scan-py-009,AI Invocation Detector (Signal Fusion + 20 Finding Types + Confidence),python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-121,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/09-ai-invocation-detector.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-122,MW-scan-py-010,Decision Flow Tracer,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-122,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/10-decision-flow-tracer.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-123,MW-scan-py-011,Evidence Graph Assembler,python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-123,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/11-evidence-graph-assembler.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-124,MW-scan-py-012,"Schema, Privacy, and Quality Gates",python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-124,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/12-schema-privacy-quality-gates.md
DthuyInk,Rotating contributor across all modules,false,LCSP-125,MW-scan-py-013,Manifest and Configuration Parser (Pipeline Step 5),python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-125,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/13-manifest-config-parser.md
DthuyInk,Rotating contributor across all modules,false,LCSP-126,MW-scan-py-014,Language Classifier and Analyzer Router (Pipeline Step 8),python-workers/scanner,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-126,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/14-language-classifier.md
DthuyInk,Rotating contributor across all modules,false,LCSP-127,MW-scan-py-015,Tree-sitter Structural Augmentation (Pipeline Step 11),python-workers/scanner,lcsp-python-workers,3.5,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-127,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/python-workers/scanner/15-tree-sitter-structural-parser.md
nhibao08,Rotating contributor across all modules,false,LCSP-128,MW-qa-001,Auth Integration Test Suite,qa,nestjs-api,1.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-128,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/qa/01-auth-integration-tests.md
nhibao08,Rotating contributor across all modules,false,LCSP-129,MW-qa-002,Python Scanner Unit Tests,qa,lcsp-python-workers,3.5,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-129,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/qa/02-scanner-unit-tests.md
Khovan,Main flow lead / backend orchestration,true,LCSP-130,MW-qa-003,E2E Manager Golden Path Test,qa,all,2.1,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-130,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/qa/03-e2e-manager-golden-path.md
Khovan,Main flow lead / backend orchestration,true,LCSP-131,MW-rec-001,Conflict Detection Callback Endpoint,reconciliation,nestjs-api,5.1,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-131,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/reconciliation/01-conflict-detection-callback-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-132,MW-rec-002,List Conflicts Endpoint,reconciliation,nestjs-api,5.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-132,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/reconciliation/02-list-conflicts-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-133,MW-rec-003,Resolve Conflict Endpoint,reconciliation,nestjs-api,5.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-133,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/reconciliation/03-resolve-conflict-endpoint.md
Nta1210,Rotating contributor across all modules,false,LCSP-134,MW-rec-004,VerifiedProfile Callback Endpoint,reconciliation,nestjs-api,5.4,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-134,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/reconciliation/04-verified-profile-callback-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-135,MW-scan-001,Scan Job Status Endpoint,scan,nestjs-api,3.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-135,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/scan/01-scan-job-status-endpoint.md
Khovan,Main flow lead / backend orchestration,true,LCSP-136,MW-scan-002,Scan Job Callback Endpoint,scan,nestjs-api,3.3,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-136,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/scan/02-scan-job-callback-endpoint.md
anhtunguyen05,Rotating contributor across all modules,false,LCSP-137,MW-scan-003,Re-Run Scan Endpoint,scan,nestjs-api,3.3,P1,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-137,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/scan/03-rerun-scan-endpoint.md
nhibao08,Rotating contributor across all modules,false,LCSP-138,MW-web-001,Sign-In Page,web,nextjs,1.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-138,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/web/01-auth-sign-in-page.md
nhibao08,Rotating contributor across all modules,false,LCSP-139,MW-web-002,Workspace Dashboard Page,web,nextjs,1.4,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-139,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/web/02-workspace-dashboard-page.md
nhibao08,Rotating contributor across all modules,false,LCSP-140,MW-web-003,Wizard Form Page,web,nextjs,2.2,P0,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-140,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/web/03-wizard-form-page.md
