Key,Issue Type,Summary,Status,Parent,Labels,Sprint,Start Date,Due Date,Story Points,Priority,URL
LCSP-21,Epic,Module: qa,Backlog,,bmad;lcsp;module;module-qa,,2026-07-04,2026-08-20,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-21
LCSP-22,Epic,Module: reconciliation,Backlog,,bmad;lcsp;module;module-reconciliation,,2026-08-03,2026-08-17,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-22
LCSP-23,Epic,Module: scan,Backlog,,bmad;lcsp;module;module-scan,,2026-07-19,2026-08-07,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-23
LCSP-24,Epic,Module: web,Backlog,,bmad;lcsp;module;module-web,,2026-07-04,2026-09-01,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-24
LCSP-25,Epic,Module: wizard,Backlog,,bmad;lcsp;module;module-wizard,,2026-07-04,2026-07-31,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-25
LCSP-26,Story,Story 1.1: Approved Account Entry and Workspace Access,In Progress,,bmad;lcsp;story;story-1-1,LCSP Sprint 1,2026-07-04,2026-07-06,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-26
LCSP-27,Story,"Story 1.2: MFA, Session, Recovery, and Profile Safety",In Progress,,bmad;lcsp;story;story-1-2,LCSP Sprint 1,2026-07-04,2026-07-06,13,High,https://minhpnq1807.atlassian.net/browse/LCSP-27
LCSP-28,Story,Story 1.3: OAuth/OIDC Login Without Repository Authorization,Ready For Dev,,bmad;lcsp;story;story-1-3,LCSP Sprint 1,2026-07-04,2026-07-06,5,High,https://minhpnq1807.atlassian.net/browse/LCSP-28
LCSP-29,Story,Story 1.4: Organization Membership and Manager Policy Scope,In Progress,,bmad;lcsp;story;story-1-4,LCSP Sprint 1,2026-07-04,2026-07-06,5,High,https://minhpnq1807.atlassian.net/browse/LCSP-29
LCSP-30,Story,Story 1.5: Optional Developer Invitation and Scoped Task Acceptance,Ready For Dev,,bmad;lcsp;story;story-1-5,LCSP Sprint 1,2026-07-05,2026-07-07,8,High,https://minhpnq1807.atlassian.net/browse/LCSP-30
LCSP-31,Story,Story 1.6: Manager-Only Action Enforcement,Ready For Dev,,bmad;lcsp;story;story-1-6,LCSP Sprint 1,2026-07-05,2026-07-07,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-31
LCSP-32,Story,Story 1.7: PBAC Policy Runtime and Deny-on-Failure Contract,Ready For Dev,,bmad;lcsp;story;story-1-7,LCSP Sprint 1,2026-07-05,2026-07-07,2,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-32
LCSP-33,Story,"Story 1.8: Foundational Audit, Outbox, and Event Contract",Ready For Dev,,bmad;lcsp;story;story-1-8,LCSP Sprint 1,2026-07-05,2026-07-07,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-33
LCSP-34,Story,Story 2.1: Create Manager-Owned Assessment,Ready For Dev,,bmad;lcsp;story;story-2-1,LCSP Sprint 1,2026-07-06,2026-07-08,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-34
LCSP-35,Story,Story 2.2: Complete WizardProfile in Business Language,Ready For Dev,,bmad;lcsp;story;story-2-2,LCSP Sprint 1,2026-07-06,2026-07-08,8,High,https://minhpnq1807.atlassian.net/browse/LCSP-35
LCSP-36,Story,Story 2.3: Wizard-Only Readiness Without Risk Level,Ready For Dev,,bmad;lcsp;story;story-2-3,LCSP Sprint 1,2026-07-06,2026-07-08,5,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-36
LCSP-37,Story,Story 2.4: Wizard Readiness Export,Ready For Dev,,bmad;lcsp;story;story-2-4,LCSP Sprint 1,2026-07-06,2026-07-08,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-37
LCSP-38,Story,Story 3.1: Connect Read-Only GitHub Repository,Backlog,,bmad;lcsp;story;story-3-1,LCSP Sprint 2,2026-07-19,2026-07-21,8,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-38
LCSP-39,Story,Story 3.2: Pin Commit and Create RepositorySnapshot,Backlog,,bmad;lcsp;story;story-3-2,LCSP Sprint 2,2026-07-19,2026-07-21,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-39
LCSP-40,Story,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,Backlog,,bmad;lcsp;story;story-3-3,LCSP Sprint 2,2026-07-19,2026-07-21,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-40
LCSP-41,Story,Story 3.4: Static Scanner Workspace and Sandbox,Backlog,,bmad;lcsp;story;story-3-4,LCSP Sprint 2,2026-07-20,2026-07-22,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-41
LCSP-42,Story,Story 3.5: Static Scanner Toolchain Execution,Backlog,,bmad;lcsp;story;story-3-5,LCSP Sprint 2,2026-07-20,2026-07-22,13,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-42
LCSP-43,Story,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,Backlog,,bmad;lcsp;story;story-3-6,LCSP Sprint 2,2026-07-21,2026-07-23,5,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-43
LCSP-44,Story,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,Backlog,,bmad;lcsp;story;story-4-1,LCSP Sprint 3,2026-08-03,2026-08-05,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-44
LCSP-45,Story,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,Backlog,,bmad;lcsp;story;story-4-2,LCSP Sprint 3,2026-08-03,2026-08-05,5,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-45
LCSP-46,Story,Story 5.1: Detect Material Profile Conflicts,Backlog,,bmad;lcsp;story;story-5-1,LCSP Sprint 3,2026-08-04,2026-08-06,5,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-46
LCSP-47,Story,Story 5.2: Explain Conflict Score and Evidence Basis,Backlog,,bmad;lcsp;story;story-5-2,LCSP Sprint 3,2026-08-05,2026-08-07,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-47
LCSP-48,Story,Story 5.3: Manager Conflict Resolution,Backlog,,bmad;lcsp;story;story-5-3,LCSP Sprint 3,2026-08-06,2026-08-08,5,High,https://minhpnq1807.atlassian.net/browse/LCSP-48
LCSP-49,Story,Story 5.4: Preserve Scanner Evidence During Resolution,Backlog,,bmad;lcsp;story;story-5-4,LCSP Sprint 3,2026-08-07,2026-08-09,5,High,https://minhpnq1807.atlassian.net/browse/LCSP-49
LCSP-50,Story,Story 6.1: Ingest Official Legal Source Snapshot,Backlog,,bmad;lcsp;story;story-6-1,LCSP Sprint 4,2026-08-18,2026-08-20,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-50
LCSP-51,Story,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,Backlog,,bmad;lcsp;story;story-6-2,LCSP Sprint 4,2026-08-19,2026-08-21,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-51
LCSP-52,Story,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,Backlog,,bmad;lcsp;story;story-6-7,LCSP Sprint 4,2026-08-20,2026-08-22,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-52
LCSP-53,Story,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,Backlog,,bmad;lcsp;story;story-7-3,LCSP Sprint 4,2026-08-21,2026-08-23,5,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-53
LCSP-54,Story,Story 7.5: Validate Classification Citations Against Legal Allowlist,Backlog,,bmad;lcsp;story;story-7-5,LCSP Sprint 4,2026-08-22,2026-08-24,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-54
LCSP-55,Story,Story 8.1: Generate GapAnalysis From Classification and Evidence,Backlog,,bmad;lcsp;story;story-8-1,LCSP Sprint 5,2026-09-02,2026-09-04,2,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-55
LCSP-56,Story,Story 8.3: Generate Guarded Final Report,Backlog,,bmad;lcsp;story;story-8-3,LCSP Sprint 5,2026-09-03,2026-09-05,2,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-56
LCSP-57,Story,Story 8.6: Record Immutable Assessment Audit Trail,Backlog,,bmad;lcsp;story;story-8-6,LCSP Sprint 5,2026-09-04,2026-09-06,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-57
LCSP-58,Story,Story 8.7: View and Export Redacted Audit Trail,Backlog,,bmad;lcsp;story;story-8-7,LCSP Sprint 5,2026-09-05,2026-09-07,2,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-58
LCSP-59,Task,MW-asmt-001: Create Assessment Endpoint,Ready For Dev,LCSP-3,bmad;lcsp;module-assessment;module-task;p0;ready-for-dev;story-2-1,LCSP Sprint 1,2026-07-13,2026-07-14,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-59
LCSP-60,Task,MW-asmt-002: Get Assessment Endpoint,Ready For Dev,LCSP-3,bmad;lcsp;module-assessment;module-task;p0;ready-for-dev;story-2-3,LCSP Sprint 1,2026-07-20,2026-07-21,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-60
LCSP-61,Task,MW-asmt-003: List Assessments Endpoint,Ready For Dev,LCSP-3,bmad;lcsp;module-assessment;module-task;p0;ready-for-dev;story-2-1,LCSP Sprint 1,2026-07-21,2026-07-22,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-61
LCSP-62,Task,MW-aud-001: List Audit Events Endpoint,Backlog,LCSP-4,bmad;lcsp;module-audit;module-task;p1;ready-for-dev;story-8-6,LCSP Sprint 5,2026-07-15,2026-07-16,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-62
LCSP-63,Task,MW-aud-002: Export Audit Trail Endpoint,Backlog,LCSP-4,bmad;lcsp;module-audit;module-task;p1;ready-for-dev;story-8-7,LCSP Sprint 5,2026-08-19,2026-08-20,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-63
LCSP-64,Task,MW-auth-001: Sign-In Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-1,LCSP Sprint 1,2026-07-07,2026-07-09,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-64
LCSP-65,Task,MW-auth-002: Register via Approved Path Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-1,LCSP Sprint 1,2026-07-07,2026-07-09,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-65
LCSP-66,Task,MW-auth-003: MFA Enroll Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-2,LCSP Sprint 1,2026-07-09,2026-07-11,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-66
LCSP-67,Task,MW-auth-004: MFA Verify OTP Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-2,LCSP Sprint 1,2026-07-09,2026-07-11,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-67
LCSP-68,Task,MW-auth-005: Session Revoke Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-2,LCSP Sprint 1,2026-07-09,2026-07-11,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-68
LCSP-69,Task,MW-auth-006: Get Workspace Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-4,LCSP Sprint 1,2026-07-11,2026-07-13,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-69
LCSP-70,Task,MW-auth-007: Update Profile Endpoint,Done,LCSP-5,bmad;done;lcsp;module-auth-workspace;module-task;p0;story-1-2,LCSP Sprint 1,2026-07-10,2026-07-12,1,Low,https://minhpnq1807.atlassian.net/browse/LCSP-70
LCSP-71,Task,MW-auth-008: OAuth/OIDC Start Endpoint,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-3,LCSP Sprint 1,2026-07-22,2026-07-23,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-71
LCSP-72,Task,MW-auth-009: OAuth/OIDC Callback Endpoint,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-3,LCSP Sprint 1,2026-07-23,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-72
LCSP-73,Task,MW-auth-010: Invite Developer Endpoint,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-5,LCSP Sprint 1,2026-07-24,2026-07-24,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-73
LCSP-74,Task,MW-auth-011: Accept Developer Invitation Endpoint,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-5,LCSP Sprint 1,2026-07-27,2026-07-28,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-74
LCSP-75,Task,MW-auth-012: Revoke Developer Membership Endpoint,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-5,LCSP Sprint 1,2026-07-28,2026-07-29,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-75
LCSP-76,Task,MW-auth-013: PBAC Guard — NestJS Integration,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-6,LCSP Sprint 1,2026-07-20,2026-07-21,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-76
LCSP-77,Task,MW-auth-014: Audit Event Writer — Auth Workspace Integration,Ready For Dev,LCSP-5,bmad;lcsp;module-auth-workspace;module-task;p0;ready-for-dev;story-1-8,LCSP Sprint 1,2026-07-14,2026-07-15,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-77
LCSP-78,Task,MW-cls-001: LegalRuleMatch Callback Endpoint,Backlog,LCSP-6,bmad;lcsp;module-classification;module-task;p0;ready-for-dev;story-6-7,LCSP Sprint 4,2026-08-17,2026-08-18,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-78
LCSP-79,Task,MW-cls-002: Classification Result Callback Endpoint,Backlog,LCSP-6,bmad;lcsp;module-classification;module-task;p0;ready-for-dev;story-7-5,LCSP Sprint 4,2026-08-18,2026-08-19,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-79
LCSP-80,Task,MW-doc-001: Generate Gap Analysis Document,Backlog,LCSP-7,bmad;lcsp;module-document;module-task;p1;ready-for-dev;story-8-1,LCSP Sprint 5,2026-08-20,2026-08-20,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-80
LCSP-81,Task,MW-doc-002: Generate Final Report Document,Backlog,LCSP-7,bmad;lcsp;module-document;module-task;p1;ready-for-dev;story-8-3,LCSP Sprint 5,2026-08-17,2026-08-18,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-81
LCSP-82,Task,MW-doc-003: Get Document Status and Download Endpoint,Backlog,LCSP-7,bmad;lcsp;module-document;module-task;p1;ready-for-dev;story-7-3,LCSP Sprint 4,2026-08-18,2026-08-19,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-82
LCSP-83,Task,MW-evid-001: Get Technical Evidence Report Endpoint,Backlog,LCSP-8,bmad;lcsp;module-evidence;module-task;p0;ready-for-dev;story-3-5,LCSP Sprint 2,2026-08-04,2026-08-05,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-83
LCSP-84,Task,MW-evid-002: TechnicalProfile Callback Endpoint,Backlog,LCSP-8,bmad;lcsp;module-evidence;module-task;p0;ready-for-dev;story-3-6,LCSP Sprint 2,2026-08-11,2026-08-12,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-84
LCSP-85,Task,MW-gh-001: GitHub App OAuth Start Endpoint,Backlog,LCSP-9,bmad;lcsp;module-github-integration;module-task;p0;ready-for-dev;story-3-1,LCSP Sprint 2,2026-07-21,2026-07-22,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-85
LCSP-86,Task,MW-gh-002: GitHub App Callback Endpoint,Backlog,LCSP-9,bmad;lcsp;module-github-integration;module-task;p0;ready-for-dev;story-3-1,LCSP Sprint 2,2026-07-29,2026-07-30,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-86
LCSP-87,Task,MW-gh-003: Pin Commit Snapshot Endpoint,Backlog,LCSP-9,bmad;lcsp;module-github-integration;module-task;p0;ready-for-dev;story-3-2,LCSP Sprint 2,2026-07-30,2026-07-31,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-87
LCSP-88,Task,MW-gh-004: Scan Trigger Endpoint,Backlog,LCSP-9,bmad;lcsp;module-github-integration;module-task;p0;ready-for-dev;story-3-3,LCSP Sprint 2,2026-08-05,2026-08-06,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-88
LCSP-89,Task,MW-audit-001: Audit Event Schema — Prisma + Domain Types,Ready For Dev,LCSP-10,bmad;lcsp;module-platform-audit-writer;module-task;p0;ready-for-dev;story-1-8,LCSP Sprint 1,2026-07-06,2026-07-07,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-89
LCSP-90,Task,MW-audit-002: Audit Writer Service,Ready For Dev,LCSP-10,bmad;lcsp;module-platform-audit-writer;module-task;p0;ready-for-dev;story-1-8,LCSP Sprint 1,2026-07-07,2026-07-08,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-90
LCSP-91,Task,MW-cfg-001: Config Loader — NestJS ConfigModule Bootstrap,Ready For Dev,LCSP-11,bmad;lcsp;module-platform-config;module-task;p0;ready-for-dev;story-1-1,LCSP Sprint 1,2026-07-08,2026-07-09,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-91
LCSP-92,Task,MW-outbox-001: Outbox Model — Prisma Schema,Ready For Dev,LCSP-12,bmad;lcsp;module-platform-outbox;module-task;p0;ready-for-dev;story-2-1,LCSP Sprint 1,2026-07-09,2026-07-10,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-92
LCSP-93,Task,MW-outbox-002: Outbox Publisher — Poller + RabbitMQ Relay,Ready For Dev,LCSP-12,bmad;lcsp;module-platform-outbox;module-task;p0;ready-for-dev;story-2-1,LCSP Sprint 1,2026-07-10,2026-07-10,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-93
LCSP-94,Task,MW-outbox-003: DLQ Handler — Dead Letter Queue Management,Ready For Dev,LCSP-12,bmad;lcsp;module-platform-outbox;module-task;p1;ready-for-dev;story-2-1,LCSP Sprint 1,2026-07-09,2026-07-10,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-94
LCSP-95,Task,MW-pbac-001: PBAC Policy Model — Prisma Schema + Types,Ready For Dev,LCSP-13,bmad;lcsp;module-platform-pbac;module-task;p0;ready-for-dev;story-1-6,LCSP Sprint 1,2026-07-06,2026-07-07,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-95
LCSP-96,Task,MW-pbac-002: PBAC Evaluator Service,Ready For Dev,LCSP-13,bmad;lcsp;module-platform-pbac;module-task;p0;ready-for-dev;story-1-6,LCSP Sprint 1,2026-07-07,2026-07-08,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-96
LCSP-97,Task,MW-pbac-003: PBAC NestJS Guard,Ready For Dev,LCSP-13,bmad;lcsp;module-platform-pbac;module-task;p0;ready-for-dev;story-1-6,LCSP Sprint 1,2026-07-16,2026-07-17,3,Highest,https://minhpnq1807.atlassian.net/browse/LCSP-97
LCSP-98,Task,MW-pbac-004: PBAC Worker Preflight — Python Worker Authorization Check,Ready For Dev,LCSP-13,bmad;lcsp;module-platform-pbac;module-task;p1;ready-for-dev;story-1-7,LCSP Sprint 1,2026-07-10,2026-07-10,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-98
LCSP-99,Task,MW-cls-py-001: Classification Worker,Backlog,LCSP-14,bmad;lcsp;module-python-workers-classification;module-task;p0;ready-for-dev;story-6-2,LCSP Sprint 4,2026-08-03,2026-08-04,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-99
LCSP-100,Task,MW-intel-001: TechnicalProfile Worker,Backlog,LCSP-15,bmad;lcsp;module-python-workers-intelligence;module-task;p0;ready-for-dev;story-3-6,LCSP Sprint 2,2026-07-22,2026-07-23,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-100
LCSP-101,Task,MW-intel-002: AIUsageFlow Worker,Backlog,LCSP-15,bmad;lcsp;module-python-workers-intelligence;module-task;p0;ready-for-dev;story-4-2,LCSP Sprint 3,2026-07-31,2026-07-31,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-101
LCSP-102,Task,MW-intel-003: Conflict Detection Worker,Backlog,LCSP-15,bmad;lcsp;module-python-workers-intelligence;module-task;p0;ready-for-dev;story-5-1,LCSP Sprint 3,2026-07-27,2026-07-28,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-102
LCSP-103,Task,MW-intel-004: VerifiedProfile Worker,Backlog,LCSP-15,bmad;lcsp;module-python-workers-intelligence;module-task;p0;ready-for-dev;story-5-4,LCSP Sprint 3,2026-08-06,2026-08-07,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-103
LCSP-104,Task,MW-legal-001: ChromaDB Legal Retrieval Worker,Backlog,LCSP-16,bmad;lcsp;module-python-workers-legal;module-task;p0;ready-for-dev;story-6-1,LCSP Sprint 4,2026-08-07,2026-08-07,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-104
LCSP-105,Task,MW-llm-001: LLM Gateway Client,Backlog,LCSP-17,bmad;lcsp;module-python-workers-llm;module-task;p0;ready-for-dev;story-4-1,LCSP Sprint 3,2026-07-15,2026-07-16,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-105
LCSP-106,Task,MW-pyp-001: Python Worker Platform Bootstrap,Ready For Dev,LCSP-18,bmad;lcsp;module-python-workers-platform;module-task;p0;ready-for-dev;story-1-1,LCSP Sprint 1,2026-07-08,2026-07-09,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-106
LCSP-107,Task,MW-pyp-002: Worker API Callback Client,Ready For Dev,LCSP-18,bmad;lcsp;module-python-workers-platform;module-task;p0;ready-for-dev;story-1-1,LCSP Sprint 1,2026-07-17,2026-07-17,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-107
LCSP-108,Task,MW-pyp-003: Worker Secret Redaction Utility,Ready For Dev,LCSP-18,bmad;lcsp;module-python-workers-platform;module-task;p0;ready-for-dev;story-1-1,LCSP Sprint 1,2026-07-13,2026-07-14,2,High,https://minhpnq1807.atlassian.net/browse/LCSP-108
LCSP-109,Task,MW-pyp-004: Worker Health Check HTTP Server,Ready For Dev,LCSP-18,bmad;lcsp;module-python-workers-platform;module-task;p1;ready-for-dev;story-1-1,LCSP Sprint 1,2026-07-17,2026-07-17,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-109
LCSP-110,Task,MW-rep-001: Gap Analysis Report Worker,Backlog,LCSP-19,bmad;lcsp;module-python-workers-reporting;module-task;p1;ready-for-dev;story-8-1,LCSP Sprint 5,2026-08-06,2026-08-07,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-110
LCSP-111,Task,MW-rep-002: Final Report Worker,Backlog,LCSP-19,bmad;lcsp;module-python-workers-reporting;module-task;p1;ready-for-dev;story-8-3,LCSP Sprint 5,2026-08-12,2026-08-13,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-111
LCSP-112,Task,MW-rep-003: Audit Export Worker,Backlog,LCSP-19,bmad;lcsp;module-python-workers-reporting;module-task;p1;ready-for-dev;story-8-7,LCSP Sprint 5,2026-07-13,2026-07-14,1,Medium,https://minhpnq1807.atlassian.net/browse/LCSP-112
