Sprint,Sequence,Theme,Start,End,Jira Key,Issue Type,Task ID,Summary,Assignee,Main Flow,Story,Priority,Status,URL
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-73,Task,MW-auth-010,MW-auth-010: Invite Developer Endpoint,nhibao08,false,1.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-73
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-74,Task,MW-auth-011,MW-auth-011: Accept Developer Invitation Endpoint,nhibao08,false,1.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-74
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-75,Task,MW-auth-012,MW-auth-012: Revoke Developer Membership Endpoint,nhibao08,false,1.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-75
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-76,Task,MW-auth-013,MW-auth-013: RBAC Guard — NestJS Integration,Nta1210,false,1.6,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-76
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-77,Task,MW-auth-014,MW-auth-014: Audit Event Writer — Auth Workspace Integration,Nta1210,false,1.8,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-77
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-89,Task,MW-audit-001,MW-audit-001: Audit Event Schema — Prisma + Domain Types,Khovan,true,1.8,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-89
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-90,Task,MW-audit-002,MW-audit-002: Audit Writer Service,Khovan,true,1.8,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-90
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-91,Task,MW-cfg-001,MW-cfg-001: Config Loader — NestJS ConfigModule Bootstrap,Khovan,true,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-91
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-92,Task,MW-outbox-001,MW-outbox-001: Outbox Model — Prisma Schema,Khovan,true,2.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-92
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-93,Task,MW-outbox-002,MW-outbox-002: Outbox Publisher — Poller + RabbitMQ Relay,Khovan,true,2.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-93
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-94,Task,MW-outbox-003,MW-outbox-003: DLQ Handler — Dead Letter Queue Management,anhtunguyen05,false,2.1,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-94
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-95,Task,MW-rbac-001,MW-rbac-001: RBAC Policy Model — Prisma Schema + Types,Khovan,true,1.6,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-95
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-96,Task,MW-rbac-002,MW-rbac-002: RBAC Evaluator Service,Khovan,true,1.6,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-96
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-97,Task,MW-rbac-003,MW-rbac-003: RBAC NestJS Guard,Khovan,true,1.6,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-97
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-98,Task,MW-rbac-004,MW-rbac-004: RBAC Worker Preflight — Python Worker Authorization Check,Khovan,true,1.7,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-98
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-106,Task,MW-pyp-001,MW-pyp-001: Python Worker Platform Bootstrap,Nta1210,false,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-106
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-107,Task,MW-pyp-002,MW-pyp-002: Worker API Callback Client,Nta1210,false,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-107
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-108,Task,MW-pyp-003,MW-pyp-003: Worker Secret Redaction Utility,Nta1210,false,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-108
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-109,Task,MW-pyp-004,MW-pyp-004: Worker Health Check HTTP Server,DthuyInk,false,1.1,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-109
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-128,Task,MW-qa-001,MW-qa-001: Auth Integration Test Suite,nhibao08,false,1.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-128
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-130,Task,MW-qa-003,MW-qa-003: E2E Manager Golden Path Test,Khovan,true,2.1,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-130
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-138,Task,MW-web-001,MW-web-001: Sign-In Page,nhibao08,false,1.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-138
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-139,Task,MW-web-002,MW-web-002: Workspace Dashboard Page,nhibao08,false,1.4,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-139
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-140,Task,MW-web-003,MW-web-003: Wizard Form Page,nhibao08,false,2.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-140
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-144,Task,MW-wiz-001,MW-wiz-001: Save Wizard Draft Endpoint,anhtunguyen05,false,2.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-144
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-145,Task,MW-wiz-002,MW-wiz-002: Submit Wizard Endpoint,anhtunguyen05,false,2.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-145
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-146,Task,MW-wiz-003,MW-wiz-003: Wizard Readiness State Endpoint,anhtunguyen05,false,2.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-146
LCSP Sprint 1,1,"Foundation, auth, assessment, wizard entry",2026-07-04T22:45:00+07:00,2026-07-18T23:59:59+07:00,LCSP-147,Task,MW-wiz-004,MW-wiz-004: Wizard Readiness Export Endpoint,Nta1210,false,2.4,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-147
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-38,Story,,Story 3.1: Connect Read-Only GitHub Repository,,,3.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-38
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-39,Story,,Story 3.2: Pin Commit and Create RepositorySnapshot,,,3.2,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-39
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-40,Story,,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,,,3.3,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-40
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-41,Story,,Story 3.4: Static Scanner Workspace and Sandbox,,,3.4,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-41
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-42,Story,,Story 3.5: Static Scanner Toolchain Execution,,,3.5,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-42
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-43,Story,,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,,,3.6,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-43
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-83,Task,MW-evid-001,MW-evid-001: Get Technical Evidence Report Endpoint,Khovan,true,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-83
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-84,Task,MW-evid-002,MW-evid-002: TechnicalProfile Callback Endpoint,Khovan,true,3.6,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-84
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-85,Task,MW-gh-001,MW-gh-001: GitHub App OAuth Start Endpoint,Khovan,true,3.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-85
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-86,Task,MW-gh-002,MW-gh-002: GitHub App Callback Endpoint,Khovan,true,3.1,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-86
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-87,Task,MW-gh-003,MW-gh-003: Pin Commit Snapshot Endpoint,Khovan,true,3.2,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-87
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-88,Task,MW-gh-004,MW-gh-004: Scan Trigger Endpoint,Khovan,true,3.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-88
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-100,Task,MW-intel-001,MW-intel-001: TechnicalProfile Worker,nhibao08,false,3.6,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-100
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-113,Task,MW-scan-py-001,MW-scan-py-001: Scanner Workspace Setup and Materialization,DthuyInk,false,3.4,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-113
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-114,Task,MW-scan-py-002,MW-scan-py-002: Syft SBOM Tool Wrapper,DthuyInk,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-114
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-115,Task,MW-scan-py-003,MW-scan-py-003: Semgrep AI Usage Rules Tool,DthuyInk,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-115
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-116,Task,MW-scan-py-004,MW-scan-py-004: Evidence Report Assembly and Callback,nhibao08,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-116
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-117,Task,MW-scan-py-005,MW-scan-py-005: Knip + deptry Dependency Usage Analysis Tool,nhibao08,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-117
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-118,Task,MW-scan-py-006,MW-scan-py-006: Python AST/CST Analyzer (Bounded L0–L3),nhibao08,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-118
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-119,Task,MW-scan-py-007,MW-scan-py-007: TS/JS Subprocess Bridge (ts-morph),Nta1210,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-119
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-120,Task,MW-scan-py-008,MW-scan-py-008: Semgrep Full AI Ruleset,Nta1210,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-120
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-121,Task,MW-scan-py-009,MW-scan-py-009: AI Invocation Detector (Signal Fusion + 20 Finding Types + Confidence),Nta1210,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-121
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-122,Task,MW-scan-py-010,MW-scan-py-010: Decision Flow Tracer,anhtunguyen05,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-122
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-123,Task,MW-scan-py-011,MW-scan-py-011: Evidence Graph Assembler,anhtunguyen05,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-123
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-124,Task,MW-scan-py-012,"MW-scan-py-012: Schema, Privacy, and Quality Gates",anhtunguyen05,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-124
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-125,Task,MW-scan-py-013,MW-scan-py-013: Manifest and Configuration Parser (Pipeline Step 5),DthuyInk,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-125
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-126,Task,MW-scan-py-014,MW-scan-py-014: Language Classifier and Analyzer Router (Pipeline Step 8),DthuyInk,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-126
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-127,Task,MW-scan-py-015,MW-scan-py-015: Tree-sitter Structural Augmentation (Pipeline Step 11),DthuyInk,false,3.5,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-127
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-129,Task,MW-qa-002,MW-qa-002: Python Scanner Unit Tests,nhibao08,false,3.5,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-129
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-135,Task,MW-scan-001,MW-scan-001: Scan Job Status Endpoint,Khovan,true,3.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-135
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-136,Task,MW-scan-002,MW-scan-002: Scan Job Callback Endpoint,Khovan,true,3.3,P0,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-136
LCSP Sprint 2,2,"Repository connection, scan orchestration, technical evidence",2026-07-19T00:00:00+07:00,2026-08-02T23:59:59+07:00,LCSP-137,Task,MW-scan-003,MW-scan-003: Re-Run Scan Endpoint,anhtunguyen05,false,3.3,P1,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-137
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-44,Story,,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,,,4.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-44
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-45,Story,,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,,,4.2,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-45
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-46,Story,,Story 5.1: Detect Material Profile Conflicts,,,5.1,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-46
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-47,Story,,Story 5.2: Explain Conflict Score and Evidence Basis,,,5.2,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-47
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-48,Story,,Story 5.3: Manager Conflict Resolution,,,5.3,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-48
LCSP Sprint 3,3,AI usage analysis and reconciliation,2026-08-03T00:00:00+07:00,2026-08-17T23:59:59+07:00,LCSP-49,Story,,Story 5.4: Preserve Scanner Evidence During Resolution,,,5.4,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-49
