Issue Type,Summary,Description,Status,Assignee,Owner Hint,Priority,Story Points,Epic Link,Epic Ref,Labels,Runtime,Domain,Deliverable,Reference,Artifact Path,Dependency,External Dependency,Start date,Due date,Target Window,Block Reason,Task Code,Module
Task,E2-S23-F1 Story 2.3: Wizard-Only Readiness Without Risk Level,"Story 2.3: Wizard-Only Readiness Without Risk Level. Feature task under Epic 2 - Assessment and Interview, anchored to Story 2.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 2 - Assessment and Interview,"task,feature,story-slice,module-e2,interview",cross-runtime,interview,Story 2.3: Wizard-Only Readiness Without Risk Level,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E2-S23-F1,Epic 2 - Assessment and Interview
Task,E2-S24-F1 Story 2.4: Wizard Readiness Export,"Story 2.4: Wizard Readiness Export. Feature task under Epic 2 - Assessment and Interview, anchored to Story 2.4. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,A,High,3,,Epic 2 - Assessment and Interview,"task,feature,story-slice,module-e2,interview",cross-runtime,interview,Story 2.4: Wizard Readiness Export,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E2-S24-F1,Epic 2 - Assessment and Interview
Task,E3-S31-F1 Story 3.1: Connect Read-Only GitHub Repository,"Story 3.1: Connect Read-Only GitHub Repository. Feature task under Epic 3 - Repository Scan and Technical Evidence, anchored to Story 3.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 3 - Repository Scan and Technical Evidence,"task,feature,story-slice,module-e3,repository",cross-runtime,repository,Story 3.1: Connect Read-Only GitHub Repository,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,GitHub App credentials,,,,,E3-S31-F1,Epic 3 - Repository Scan and Technical Evidence
Task,E3-S32-F1 Story 3.2: Pin Commit and Create RepositorySnapshot,"Story 3.2: Pin Commit and Create RepositorySnapshot. Feature task under Epic 3 - Repository Scan and Technical Evidence, anchored to Story 3.2. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 3 - Repository Scan and Technical Evidence,"task,feature,story-slice,module-e3,repository",cross-runtime,repository,Story 3.2: Pin Commit and Create RepositorySnapshot,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E3-S32-F1,Epic 3 - Repository Scan and Technical Evidence
Task,E3-S33-F1 Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,"Story 3.3: Trusted Scan Trigger and Scan Job Orchestration. Feature task under Epic 3 - Repository Scan and Technical Evidence, anchored to Story 3.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,B,High,3,,Epic 3 - Repository Scan and Technical Evidence,"task,feature,story-slice,module-e3,scanner",cross-runtime,scanner,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E3-S33-F1,Epic 3 - Repository Scan and Technical Evidence
Task,E3-S34-F1 Story 3.4: Managed Repository Workspace and Sandbox,"Story 3.4: Managed Repository Workspace and Sandbox. Feature task under Epic 3 - Repository Scan and Technical Evidence, anchored to Story 3.4. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,B,High,3,,Epic 3 - Repository Scan and Technical Evidence,"task,feature,story-slice,module-e3,repository-analysis",worker,repository-analysis,Story 3.4: Managed Repository Workspace and Sandbox,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E3-S34-F1,Epic 3 - Repository Scan and Technical Evidence
Task,E3-S35-F1 Story 3.5: Repository Deep Agent Evidence Analysis,"Story 3.5: Repository Deep Agent Evidence Analysis. Feature task under Epic 3 - Repository Scan and Technical Evidence, anchored to Story 3.5. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,B,High,3,,Epic 3 - Repository Scan and Technical Evidence,"task,feature,story-slice,module-e3,repository-analysis",worker,repository-analysis,Story 3.5: Repository Deep Agent Evidence Analysis,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E3-S35-F1,Epic 3 - Repository Scan and Technical Evidence
Task,E3-S36-F1 Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,"Story 3.6: Scan Failure Severity and Evidence Acceptance Policy. Feature task under Epic 3 - Repository Scan and Technical Evidence, anchored to Story 3.6. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,B,High,3,,Epic 3 - Repository Scan and Technical Evidence,"task,feature,story-slice,module-e3,evidence",cross-runtime,evidence,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E3-S36-F1,Epic 3 - Repository Scan and Technical Evidence
Task,E4-S41-F1 Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,"Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence. Feature task under Epic 4 - AI Usage Analysis, anchored to Story 4.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 4 - AI Usage Analysis,"task,feature,story-slice,module-e4,ai-usage",cross-runtime,ai-usage,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E4-S41-F1,Epic 4 - AI Usage Analysis
Task,E4-S42-F1 Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,"Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation. Feature task under Epic 4 - AI Usage Analysis, anchored to Story 4.2. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 4 - AI Usage Analysis,"task,feature,story-slice,module-e4,ai-usage",cross-runtime,ai-usage,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E4-S42-F1,Epic 4 - AI Usage Analysis
Task,E5-S51-F1 Story 5.1: Detect Material Profile Conflicts,"Story 5.1: Detect Material Profile Conflicts. Feature task under Epic 5 - Reconciliation and Verified Profile, anchored to Story 5.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 5 - Reconciliation and Verified Profile,"task,feature,story-slice,module-e5,reconciliation",cross-runtime,reconciliation,Story 5.1: Detect Material Profile Conflicts,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E5-S51-F1,Epic 5 - Reconciliation and Verified Profile
Task,E5-S52-F1 Story 5.2: Explain Conflict Score and Evidence Basis,"Story 5.2: Explain Conflict Score and Evidence Basis. Feature task under Epic 5 - Reconciliation and Verified Profile, anchored to Story 5.2. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,C,High,3,,Epic 5 - Reconciliation and Verified Profile,"task,feature,story-slice,module-e5,reconciliation",cross-runtime,reconciliation,Story 5.2: Explain Conflict Score and Evidence Basis,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E5-S52-F1,Epic 5 - Reconciliation and Verified Profile
Task,E5-S53-F1 Story 5.3: Manager Conflict Resolution,"Story 5.3: Manager Conflict Resolution. Feature task under Epic 5 - Reconciliation and Verified Profile, anchored to Story 5.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,A,High,3,,Epic 5 - Reconciliation and Verified Profile,"task,feature,story-slice,module-e5,reconciliation",cross-runtime,reconciliation,Story 5.3: Manager Conflict Resolution,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E5-S53-F1,Epic 5 - Reconciliation and Verified Profile
Task,E5-S54-F1 Story 5.4: Preserve Scanner Evidence During Resolution,"Story 5.4: Preserve Scanner Evidence During Resolution. Feature task under Epic 5 - Reconciliation and Verified Profile, anchored to Story 5.4. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,A,High,3,,Epic 5 - Reconciliation and Verified Profile,"task,feature,story-slice,module-e5,reconciliation",cross-runtime,reconciliation,Story 5.4: Preserve Scanner Evidence During Resolution,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E5-S54-F1,Epic 5 - Reconciliation and Verified Profile
Task,E6-S61-F1 Story 6.1: Ingest Official Legal Source Snapshot,"Story 6.1: Ingest Official Legal Source Snapshot. Feature task under Epic 6 - Legal Corpus and Matching, anchored to Story 6.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,D,High,3,,Epic 6 - Legal Corpus and Matching,"task,feature,story-slice,module-e6,legal",cross-runtime,legal,Story 6.1: Ingest Official Legal Source Snapshot,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,Object storage,,,,,E6-S61-F1,Epic 6 - Legal Corpus and Matching
Task,E6-S62-F1 Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,"Story 6.2: Parse Legal Structure and Stable Hierarchical IDs. Feature task under Epic 6 - Legal Corpus and Matching, anchored to Story 6.2. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,D,High,3,,Epic 6 - Legal Corpus and Matching,"task,feature,story-slice,module-e6,legal",cross-runtime,legal,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,Object storage,,,,,E6-S62-F1,Epic 6 - Legal Corpus and Matching
Task,E6-S63-F1 Story 6.3: Approve LegalCorpusVersion,"Story 6.3: Approve LegalCorpusVersion. Feature task under Epic 6 - Legal Corpus and Matching, anchored to Story 6.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,D,High,3,,Epic 6 - Legal Corpus and Matching,"task,feature,story-slice,module-e6,legal",cross-runtime,legal,Story 6.3: Approve LegalCorpusVersion,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,Object storage,,,,,E6-S63-F1,Epic 6 - Legal Corpus and Matching
Task,E6-S67-F1 Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,"Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence. Feature task under Epic 6 - Legal Corpus and Matching, anchored to Story 6.7. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,D,High,3,,Epic 6 - Legal Corpus and Matching,"task,feature,story-slice,module-e6,legal",cross-runtime,legal,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E6-S67-F1,Epic 6 - Legal Corpus and Matching
Task,E7-S73-F1 Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,"Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails. Feature task under Epic 7 - Classification, anchored to Story 7.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 7 - Classification,"task,feature,story-slice,module-e7,llm",shared,llm,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,Provider credentials; Provider SDK access,,,,,E7-S73-F1,Epic 7 - Classification
Task,E7-S75-F1 Story 7.5: Validate Classification Citations Against Legal Allowlist,"Story 7.5: Validate Classification Citations Against Legal Allowlist. Feature task under Epic 7 - Classification, anchored to Story 7.5. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,A,High,3,,Epic 7 - Classification,"task,feature,story-slice,module-e7,classification",cross-runtime,classification,Story 7.5: Validate Classification Citations Against Legal Allowlist,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E7-S75-F1,Epic 7 - Classification
Task,E8-S81-F1 Story 8.1: Generate GapAnalysis From Classification and Evidence,"Story 8.1: Generate GapAnalysis From Classification and Evidence. Feature task under Epic 8 - Reporting and Audit, anchored to Story 8.1. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,D,High,3,,Epic 8 - Reporting and Audit,"task,feature,story-slice,module-e8,reporting",cross-runtime,reporting,Story 8.1: Generate GapAnalysis From Classification and Evidence,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E8-S81-F1,Epic 8 - Reporting and Audit
Task,E8-S83-F1 Story 8.3: Generate Guarded Final Report,"Story 8.3: Generate Guarded Final Report. Feature task under Epic 8 - Reporting and Audit, anchored to Story 8.3. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,D,High,3,,Epic 8 - Reporting and Audit,"task,feature,story-slice,module-e8,reporting",cross-runtime,reporting,Story 8.3: Generate Guarded Final Report,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E8-S83-F1,Epic 8 - Reporting and Audit
Task,E8-S86-F1 Story 8.6: Record Immutable Assessment Audit Trail,"Story 8.6: Record Immutable Assessment Audit Trail. Feature task under Epic 8 - Reporting and Audit, anchored to Story 8.6. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 8 - Reporting and Audit,"task,feature,story-slice,module-e8,audit",cross-runtime,audit,Story 8.6: Record Immutable Assessment Audit Trail,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E8-S86-F1,Epic 8 - Reporting and Audit
Task,E8-S87-F1 Story 8.7: View and Export Redacted Audit Trail,"Story 8.7: View and Export Redacted Audit Trail. Feature task under Epic 8 - Reporting and Audit, anchored to Story 8.7. This task is one implementation slice of the story acceptance criteria and should be completed independently with its own verification evidence.",Ready for Dev,,L,High,3,,Epic 8 - Reporting and Audit,"task,feature,story-slice,module-e8,audit",cross-runtime,audit,Story 8.7: View and Export Redacted Audit Trail,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,E8-S87-F1,Epic 8 - Reporting and Audit
