Issue Type,Summary,Description,Status,Assignee,Owner Hint,Priority,Story Points,Epic Link,Epic Ref,Labels,Runtime,Domain,Deliverable,Reference,Artifact Path,Dependency,External Dependency,Start date,Due date,Target Window,Block Reason,Story Ref
Story,Story 2.3: Wizard-Only Readiness Without Risk Level,Implementation story 2.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 2 - Assessment and Interview,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,2.3
Story,Story 2.4: Wizard Readiness Export,Implementation story 2.4; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 2 - Assessment and Interview,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,2.4
Story,Story 3.1: Connect Read-Only GitHub Repository,Implementation story 3.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 3 - Repository Scan and Technical Evidence,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,3.1
Story,Story 3.2: Pin Commit and Create RepositorySnapshot,Implementation story 3.2; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 3 - Repository Scan and Technical Evidence,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,3.2
Story,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,Implementation story 3.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 3 - Repository Scan and Technical Evidence,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,3.3
Story,Story 3.4: Managed Repository Workspace and Sandbox,Implementation story 3.4; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 3 - Repository Scan and Technical Evidence,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,3.4
Story,Story 3.5: Repository Deep Agent Evidence Analysis,Implementation story 3.5; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 3 - Repository Scan and Technical Evidence,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,3.5
Story,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,Implementation story 3.6; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 3 - Repository Scan and Technical Evidence,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,3.6
Story,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,Implementation story 4.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 4 - AI Usage Analysis,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,4.1
Story,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,Implementation story 4.2; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 4 - AI Usage Analysis,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,4.2
Story,Story 5.1: Detect Material Profile Conflicts,Implementation story 5.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 5 - Reconciliation and Verified Profile,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,5.1
Story,Story 5.2: Explain Conflict Score and Evidence Basis,Implementation story 5.2; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 5 - Reconciliation and Verified Profile,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,5.2
Story,Story 5.3: Manager Conflict Resolution,Implementation story 5.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 5 - Reconciliation and Verified Profile,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,5.3
Story,Story 5.4: Preserve Scanner Evidence During Resolution,Implementation story 5.4; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 5 - Reconciliation and Verified Profile,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,5.4
Story,Story 6.1: Ingest Official Legal Source Snapshot,Implementation story 6.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 6 - Legal Corpus and Matching,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,6.1
Story,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,Implementation story 6.2; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 6 - Legal Corpus and Matching,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,6.2
Story,Story 6.3: Approve LegalCorpusVersion,Implementation story 6.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 6 - Legal Corpus and Matching,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,6.3
Story,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,Implementation story 6.7; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 6 - Legal Corpus and Matching,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,6.7
Story,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,Implementation story 7.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 7 - Classification,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,7.3
Story,Story 7.5: Validate Classification Citations Against Legal Allowlist,Implementation story 7.5; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 7 - Classification,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,7.5
Story,Story 8.1: Generate GapAnalysis From Classification and Evidence,Implementation story 8.1; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 8 - Reporting and Audit,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,8.1
Story,Story 8.3: Generate Guarded Final Report,Implementation story 8.3; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 8 - Reporting and Audit,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,8.3
Story,Story 8.6: Record Immutable Assessment Audit Trail,Implementation story 8.6; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 8 - Reporting and Audit,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,8.6
Story,Story 8.7: View and Export Redacted Audit Trail,Implementation story 8.7; generated from module-scoped task frontmatter in https://github.com/khovan123/LCSP/tree/main/docs/implementation/tasks/modules.,Ready for Dev,,,,,,Epic 8 - Reporting and Audit,,,,,https://github.com/khovan123/LCSP/tree/main/apps/api/src/modules; https://github.com/khovan123/LCSP/tree/main/packages/contracts/src/shared,,,,,,,,8.7
