Sprint,Jira Key,Issue Type,Task ID,Summary,Assignee,Story,Start Date,Due Date,Story Points,Priority,Local Priority,Main Flow,Status,URL
LCSP Sprint 1,LCSP-93,Task,MW-outbox-002,MW-outbox-002: Outbox Publisher — Poller + RabbitMQ Relay,Khovan,2.1,2026-07-15,2026-07-17,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-93
LCSP Sprint 1,LCSP-94,Task,MW-outbox-003,MW-outbox-003: DLQ Handler — Dead Letter Queue Management,anhtunguyen05,2.1,2026-07-15,2026-07-17,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-94
LCSP Sprint 1,LCSP-130,Task,MW-qa-003,MW-qa-003: E2E Manager Golden Path Test,Khovan,2.1,2026-07-16,2026-07-18,2,High,P1,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-130
LCSP Sprint 1,LCSP-140,Task,MW-web-003,MW-web-003: Wizard Form Page,nhibao08,2.2,2026-07-16,2026-07-18,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-140
LCSP Sprint 1,LCSP-144,Task,MW-wiz-001,MW-wiz-001: Save Wizard Draft Endpoint,anhtunguyen05,2.2,2026-07-16,2026-07-18,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-144
LCSP Sprint 1,LCSP-145,Task,MW-wiz-002,MW-wiz-002: Submit Wizard Endpoint,anhtunguyen05,2.2,2026-07-16,2026-07-18,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-145
LCSP Sprint 1,LCSP-60,Task,MW-asmt-002,MW-asmt-002: Get Assessment Endpoint,Khovan,2.3,2026-07-17,2026-07-18,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-60
LCSP Sprint 1,LCSP-146,Task,MW-wiz-003,MW-wiz-003: Wizard Readiness State Endpoint,anhtunguyen05,2.3,2026-07-17,2026-07-18,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-146
LCSP Sprint 1,LCSP-147,Task,MW-wiz-004,MW-wiz-004: Wizard Readiness Export Endpoint,Nta1210,2.4,2026-07-17,2026-07-18,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-147
LCSP Sprint 2,LCSP-38,Story,,Story 3.1: Connect Read-Only GitHub Repository,,3.1,2026-07-19,2026-07-21,8,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-38
LCSP Sprint 2,LCSP-39,Story,,Story 3.2: Pin Commit and Create RepositorySnapshot,,3.2,2026-07-19,2026-07-21,3,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-39
LCSP Sprint 2,LCSP-40,Story,,Story 3.3: Trusted Scan Trigger and Scan Job Orchestration,,3.3,2026-07-19,2026-07-21,13,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-40
LCSP Sprint 2,LCSP-41,Story,,Story 3.4: Static Scanner Workspace and Sandbox,,3.4,2026-07-20,2026-07-22,2,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-41
LCSP Sprint 2,LCSP-42,Story,,Story 3.5: Static Scanner Toolchain Execution,,3.5,2026-07-20,2026-07-22,13,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-42
LCSP Sprint 2,LCSP-43,Story,,Story 3.6: Scan Failure Severity and Evidence Acceptance Policy,,3.6,2026-07-21,2026-07-23,5,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-43
LCSP Sprint 2,LCSP-85,Task,MW-gh-001,MW-gh-001: GitHub App OAuth Start Endpoint,Khovan,3.1,2026-07-21,2026-07-23,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-85
LCSP Sprint 2,LCSP-86,Task,MW-gh-002,MW-gh-002: GitHub App Callback Endpoint,Khovan,3.1,2026-07-22,2026-07-24,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-86
LCSP Sprint 2,LCSP-87,Task,MW-gh-003,MW-gh-003: Pin Commit Snapshot Endpoint,Khovan,3.2,2026-07-22,2026-07-24,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-87
LCSP Sprint 2,LCSP-88,Task,MW-gh-004,MW-gh-004: Scan Trigger Endpoint,Khovan,3.3,2026-07-22,2026-07-24,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-88
LCSP Sprint 2,LCSP-135,Task,MW-scan-001,MW-scan-001: Scan Job Status Endpoint,Khovan,3.3,2026-07-23,2026-07-25,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-135
LCSP Sprint 2,LCSP-136,Task,MW-scan-002,MW-scan-002: Scan Job Callback Endpoint,Khovan,3.3,2026-07-23,2026-07-25,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-136
LCSP Sprint 2,LCSP-137,Task,MW-scan-003,MW-scan-003: Re-Run Scan Endpoint,anhtunguyen05,3.3,2026-07-24,2026-07-26,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-137
LCSP Sprint 2,LCSP-113,Task,MW-scan-py-001,MW-scan-py-001: Scanner Workspace Setup and Materialization,DthuyInk,3.4,2026-07-24,2026-07-26,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-113
LCSP Sprint 2,LCSP-83,Task,MW-evid-001,MW-evid-001: Get Technical Evidence Report Endpoint,Khovan,3.5,2026-07-25,2026-07-27,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-83
LCSP Sprint 2,LCSP-114,Task,MW-scan-py-002,MW-scan-py-002: Syft SBOM Tool Wrapper,DthuyInk,3.5,2026-07-25,2026-07-27,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-114
LCSP Sprint 2,LCSP-115,Task,MW-scan-py-003,MW-scan-py-003: Semgrep AI Usage Rules Tool,DthuyInk,3.5,2026-07-26,2026-07-28,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-115
LCSP Sprint 2,LCSP-116,Task,MW-scan-py-004,MW-scan-py-004: Evidence Report Assembly and Callback,nhibao08,3.5,2026-07-26,2026-07-28,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-116
LCSP Sprint 2,LCSP-117,Task,MW-scan-py-005,MW-scan-py-005: Knip + deptry Dependency Usage Analysis Tool,nhibao08,3.5,2026-07-26,2026-07-28,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-117
LCSP Sprint 2,LCSP-118,Task,MW-scan-py-006,MW-scan-py-006: Python AST/CST Analyzer (Bounded L0–L3),nhibao08,3.5,2026-07-27,2026-07-29,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-118
LCSP Sprint 2,LCSP-119,Task,MW-scan-py-007,MW-scan-py-007: TS/JS Subprocess Bridge (ts-morph),Nta1210,3.5,2026-07-27,2026-07-29,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-119
LCSP Sprint 2,LCSP-120,Task,MW-scan-py-008,MW-scan-py-008: Semgrep Full AI Ruleset,Nta1210,3.5,2026-07-28,2026-07-30,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-120
LCSP Sprint 2,LCSP-121,Task,MW-scan-py-009,MW-scan-py-009: AI Invocation Detector (Signal Fusion + 20 Finding Types + Confidence),Nta1210,3.5,2026-07-28,2026-07-30,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-121
LCSP Sprint 2,LCSP-122,Task,MW-scan-py-010,MW-scan-py-010: Decision Flow Tracer,anhtunguyen05,3.5,2026-07-29,2026-07-31,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-122
LCSP Sprint 2,LCSP-123,Task,MW-scan-py-011,MW-scan-py-011: Evidence Graph Assembler,anhtunguyen05,3.5,2026-07-29,2026-07-31,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-123
LCSP Sprint 2,LCSP-124,Task,MW-scan-py-012,"MW-scan-py-012: Schema, Privacy, and Quality Gates",anhtunguyen05,3.5,2026-07-29,2026-07-31,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-124
LCSP Sprint 2,LCSP-125,Task,MW-scan-py-013,MW-scan-py-013: Manifest and Configuration Parser (Pipeline Step 5),DthuyInk,3.5,2026-07-30,2026-08-01,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-125
LCSP Sprint 2,LCSP-126,Task,MW-scan-py-014,MW-scan-py-014: Language Classifier and Analyzer Router (Pipeline Step 8),DthuyInk,3.5,2026-07-30,2026-08-01,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-126
LCSP Sprint 2,LCSP-127,Task,MW-scan-py-015,MW-scan-py-015: Tree-sitter Structural Augmentation (Pipeline Step 11),DthuyInk,3.5,2026-07-31,2026-08-02,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-127
LCSP Sprint 2,LCSP-129,Task,MW-qa-002,MW-qa-002: Python Scanner Unit Tests,nhibao08,3.5,2026-07-31,2026-08-02,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-129
LCSP Sprint 2,LCSP-84,Task,MW-evid-002,MW-evid-002: TechnicalProfile Callback Endpoint,Khovan,3.6,2026-08-01,2026-08-02,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-84
LCSP Sprint 2,LCSP-100,Task,MW-intel-001,MW-intel-001: TechnicalProfile Worker,nhibao08,3.6,2026-08-01,2026-08-02,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-100
LCSP Sprint 3,LCSP-44,Story,,Story 4.1: Build AIUsageFlow From Wizard and Technical Evidence,,4.1,2026-08-03,2026-08-05,2,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-44
LCSP Sprint 3,LCSP-45,Story,,Story 4.2: Preserve TechnicalProfile and AIUsageFlow Separation,,4.2,2026-08-03,2026-08-05,5,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-45
LCSP Sprint 3,LCSP-46,Story,,Story 5.1: Detect Material Profile Conflicts,,5.1,2026-08-04,2026-08-06,5,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-46
LCSP Sprint 3,LCSP-47,Story,,Story 5.2: Explain Conflict Score and Evidence Basis,,5.2,2026-08-05,2026-08-07,2,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-47
LCSP Sprint 3,LCSP-48,Story,,Story 5.3: Manager Conflict Resolution,,5.3,2026-08-06,2026-08-08,5,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-48
LCSP Sprint 3,LCSP-49,Story,,Story 5.4: Preserve Scanner Evidence During Resolution,,5.4,2026-08-07,2026-08-09,5,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-49
LCSP Sprint 3,LCSP-105,Task,MW-llm-001,MW-llm-001: LLM Gateway Client,anhtunguyen05,4.1,2026-08-08,2026-08-10,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-105
LCSP Sprint 3,LCSP-2,Task,MW-aiuf-001,MW-aiuf-001: AIUsageFlow Callback Endpoint,Khovan,4.2,2026-08-09,2026-08-11,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-2
LCSP Sprint 3,LCSP-101,Task,MW-intel-002,MW-intel-002: AIUsageFlow Worker,nhibao08,4.2,2026-08-10,2026-08-12,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-101
LCSP Sprint 3,LCSP-102,Task,MW-intel-003,MW-intel-003: Conflict Detection Worker,nhibao08,5.1,2026-08-10,2026-08-12,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-102
LCSP Sprint 3,LCSP-131,Task,MW-rec-001,MW-rec-001: Conflict Detection Callback Endpoint,Khovan,5.1,2026-08-11,2026-08-13,3,Highest,P0,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-131
LCSP Sprint 3,LCSP-132,Task,MW-rec-002,MW-rec-002: List Conflicts Endpoint,Nta1210,5.2,2026-08-12,2026-08-14,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-132
LCSP Sprint 3,LCSP-133,Task,MW-rec-003,MW-rec-003: Resolve Conflict Endpoint,Nta1210,5.3,2026-08-13,2026-08-15,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-133
LCSP Sprint 3,LCSP-141,Task,MW-web-004,MW-web-004: Conflict Resolution Page,DthuyInk,5.3,2026-08-14,2026-08-16,2,High,P0,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-141
LCSP Sprint 3,LCSP-103,Task,MW-intel-004,MW-intel-004: VerifiedProfile Worker,Nta1210,5.4,2026-08-15,2026-08-17,2,High,P0,false,SUPERSEDED_FOR_ACTIVE_MVP,https://minhpnq1807.atlassian.net/browse/LCSP-103
LCSP Sprint 3,LCSP-134,Task,MW-rec-004,MW-rec-004: VerifiedProfile Callback Endpoint,Nta1210,5.4,2026-08-16,2026-08-17,2,High,P0,false,SUPERSEDED_FOR_ACTIVE_MVP,https://minhpnq1807.atlassian.net/browse/LCSP-134
LCSP Sprint 4,LCSP-50,Story,,Story 6.1: Ingest Official Legal Source Snapshot,,6.1,2026-08-18,2026-08-20,2,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-50
LCSP Sprint 4,LCSP-51,Story,,Story 6.2: Parse Legal Structure and Stable Hierarchical IDs,,6.2,2026-08-19,2026-08-21,2,High,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-51
LCSP Sprint 4,LCSP-52,Story,,Story 6.7: Create LegalMatchingResult and LegalRuleMatch Evidence,,6.7,2026-08-20,2026-08-22,3,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-52
LCSP Sprint 4,LCSP-53,Story,,Story 7.3: Use Real LLM Provider With Schema and Budget Guardrails,,7.3,2026-08-21,2026-08-23,5,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-53
LCSP Sprint 4,LCSP-54,Story,,Story 7.5: Validate Classification Citations Against Legal Allowlist,,7.5,2026-08-22,2026-08-24,3,Highest,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-54
LCSP Sprint 4,LCSP-104,Task,MW-legal-001,MW-legal-001: ChromaDB Legal Retrieval Worker,DthuyInk,6.1,2026-08-23,2026-08-25,2,High,P0,false,SUPERSEDED_FOR_ACTIVE_MVP,https://minhpnq1807.atlassian.net/browse/LCSP-104
LCSP Sprint 4,LCSP-99,Task,MW-cls-py-001,MW-cls-py-001: Classification Worker,anhtunguyen05,6.2,2026-08-25,2026-08-27,2,High,P0,false,SUPERSEDED_FOR_ACTIVE_MVP,https://minhpnq1807.atlassian.net/browse/LCSP-99
LCSP Sprint 4,LCSP-78,Task,MW-cls-001,MW-cls-001: LegalRuleMatch Callback Endpoint,Khovan,6.7,2026-08-26,2026-08-28,3,Highest,P0,true,SUPERSEDED_FOR_ACTIVE_MVP,https://minhpnq1807.atlassian.net/browse/LCSP-78
LCSP Sprint 4,LCSP-82,Task,MW-doc-003,MW-doc-003: Get Document Status and Download Endpoint,Khovan,7.3,2026-08-27,2026-08-29,2,High,P1,true,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-82
LCSP Sprint 4,LCSP-142,Task,MW-web-005,MW-web-005: Classification Status Page,DthuyInk,7.3,2026-08-28,2026-08-30,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-142
LCSP Sprint 4,LCSP-143,Task,MW-web-006,MW-web-006: Document Download Page,DthuyInk,7.3,2026-08-29,2026-08-31,1,Medium,P1,false,READY_FOR_DEV,https://minhpnq1807.atlassian.net/browse/LCSP-143
LCSP Sprint 4,LCSP-79,Task,MW-cls-002,MW-cls-002: Classification Result Callback Endpoint,Khovan,7.5,2026-08-30,2026-09-01,3,Highest,P0,true,SUPERSEDED_FOR_ACTIVE_MVP,https://minhpnq1807.atlassian.net/browse/LCSP-79
LCSP Sprint 5,LCSP-55,Story,,Story 8.1: Generate GapAnalysis From Classification and Evidence,,8.1,2026-09-02,2026-09-04,2,Medium,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-55
LCSP Sprint 5,LCSP-56,Story,,Story 8.3: Generate Guarded Final Report,,8.3,2026-09-03,2026-09-05,2,Medium,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-56
LCSP Sprint 5,LCSP-57,Story,,Story 8.6: Record Immutable Assessment Audit Trail,,8.6,2026-09-04,2026-09-06,1,Medium,,,Backlog,https://minhpnq1807.atlassian.net/browse/LCSP-57
