Issue Type,Summary,Description,Module,Task Count,P0 Count,P1 Count,Done Count,Ready Count,Catalog URL
Epic,Module: platform/outbox,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for platform/outbox.,platform/outbox,3,2,1,0,3,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: platform/pbac,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for platform/pbac.,platform/pbac,4,3,1,0,4,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/classification,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/classification.,python-workers/classification,1,1,0,0,1,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/intelligence,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/intelligence.,python-workers/intelligence,4,4,0,0,4,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/legal,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/legal.,python-workers/legal,1,1,0,0,1,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/llm,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/llm.,python-workers/llm,1,1,0,0,1,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/platform,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/platform.,python-workers/platform,4,3,1,0,4,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/reporting,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/reporting.,python-workers/reporting,3,0,3,0,3,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: python-workers/scanner,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for python-workers/scanner.,python-workers/scanner,15,14,1,0,15,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: qa,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for qa.,qa,3,2,1,0,3,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: reconciliation,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for reconciliation.,reconciliation,4,4,0,0,4,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: scan,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for scan.,scan,3,2,1,0,3,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: web,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for web.,web,6,4,2,0,6,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
Epic,Module: wizard,LCSP module backlog generated from https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md for wizard.,wizard,4,3,1,0,4,https://github.com/khovan123/LCSP/blob/main/docs/implementation/tasks/modules/README.md
